Animal,Cor,Lugares,Comida,Profissões,Minha sogra é,Objeto
pato,abobora,albania,abacate,pedreiro,linda,agulha
gato,amarelo,alemanha,alface,professor,inteligente,abajur
cachorro,ambar,angola,ameixa,programador,amorosa,alicate
borboleta,anil,argentina,arroz,cientista,especial,apagador
baleia,azul,australia,banana,ator,animada,balde
porco,bege,bulgaria,batata,diretor,velha,despertador
boi,branco,canada,beterraba,roteirista,cansada,desfibrilador
vaca,bronze,catar,bolo,atleta,nova,dinamite
cavalo,caramelo,casaquistao,carne,padeiro,quieta,espelho
rato,carmim,bolivia,cereja,carpinteiro,tagarela,espingarda
doninha,castanho,cuba,dobradinha,motorista,reservada,fantoche
esquilo,cereja,colombia,empada,cozinheiro,expansiva,farol
enguia,chocolate,equador,escondidinho,dentista,delicada,lapiseira
elefante,ciano,espanha,farofa,medico,divertida,almofada
girafa,cinza,filipinas,feijoada,advogado,mandona,ombreira
hiena,cinzento,gana,figo,editor,chata,microfone
javali,cobre,guatemala,framboesa,jornalista,irritada,liquidificador
joaninha,coral,indonesia,goiaba,coreografo,legal,lixeira
jumento,creme,inglaterra,goiabada,fazendeiro,avoada,mamadeira
lacraia,dourado,honduras,gorgonzola,agricultor,esquecida,flauta
lhama,escarlate,italia,inhame,bombeiro,experiente,caderno
marmota,esmeralda,noruega,jaca,bailarino,arrogante,aspirador
macaco,gelo,portugal,lasanha,juiz,ciumenta,chupeta
morcego,fucsia,romenia,maionese,bibliotecario,calculista,foice
ovelha,gris,russia,manga,carteiro,debochada,pandeiro
cabra,indigo,uruguai,mel,enfermeiro,desequilibrada,panela
ornitorrinco,jade,venezuela,melado,piloto,exigente,pano
pantera,laranja,holanda,mostarda,encanador,segura,papel
piranha,lavanda,nicaragua,nachos,policial,possessiva,lantejoula
peixe,lilas,hungria,omelete,vendedor,relapsa,trem
pelicano,magenta,panama,pepino,feirante,rica,guilhotina
serpente,marfim,paquistao,pimenta,alfaiate,rabugenta,guirlanda
tigre,marrom,paraguai,rabada,veterinario,vaidosa,berimbau
touro,mostarda,peru,rabanada,escritor,atenta,retrovisor
urubu,ocre,polonia,soja,zelador,rancorosa,roda
zebra,oliva,haiti,tomate,porteiro,sensata,canivete
urso,ouro,iraque,cuscuz,assistente,sossegada,bigorna
percevejo,pessego,israel,damasco,eletricista,calma,quadriciclo
mosca,prata,marrocos,espaguete,esteticista,cuidadosa,ralo
abelha,preto,luxemburgo,gengibre,cabelereiro,zelosa,ralador
barata,purpura,turquia,iogurte,treinador,fofoqueira,nebulizador
fuinha,rosa,mexico,jabuticaba,contador,proativa,fruteira
lince,roxo,ucrania,kiwi,reporter,meiga,caneca
alce,salmao,macedonia,laranja,empresario,modesta,chinelo
raposa,turquesa,namibia,nozes,designer,madura,medalha
rinoceronte,verde,senegal,ovos,jogador,justa,megafone
pombo,vermelho,servia,peixe,artista,verdadeira,meia
polvo,vinho,suecia,queijo,economista,falsa,interruptor
lontra,violeta,dinamarca,rosbife,arquiteto,carinhosa,vassoura
